name,date,open,high,low,close,volume
CSCO,26-03-90,0.0573,0.0585,0.0567,0.0585,41702400
CSCO,27-03-90,0.0579,0.0597,0.0573,0.0597,15926400
CSCO,28-03-90,0.0597,0.0597,0.0591,0.0591,9792000
CSCO,29-03-90,0.0591,0.0591,0.0579,0.0591,16272000
CSCO,30-03-90,0.0579,0.0579,0.0555,0.0567,28742400
CSCO,02-04-90,0.0549,0.0561,0.0536,0.0555,15868800
CSCO,03-04-90,0.0549,0.0567,0.0549,0.0561,8352000
CSCO,04-04-90,0.0561,0.0567,0.0561,0.0561,14284800
CSCO,05-04-90,0.0567,0.0567,0.0555,0.0558,8323200
CSCO,06-04-90,0.0555,0.0561,0.0549,0.0549,10771200
CSCO,09-04-90,0.0555,0.0555,0.0543,0.0543,6681600
CSCO,10-04-90,0.0543,0.0555,0.0518,0.053,34790400
CSCO,11-04-90,0.053,0.0536,0.0524,0.053,24796800
CSCO,12-04-90,0.0536,0.0536,0.0524,0.0536,13161600
CSCO,16-04-90,0.0536,0.0543,0.053,0.0536,5616000
CSCO,17-04-90,0.053,0.0543,0.0524,0.0543,6566400
CSCO,18-04-90,0.0543,0.0555,0.0536,0.0549,24480000
CSCO,19-04-90,0.0543,0.0555,0.0543,0.0555,25142400
CSCO,20-04-90,0.0555,0.0555,0.0536,0.0536,8755200
CSCO,23-04-90,0.0536,0.0549,0.053,0.0543,5356800
CSCO,24-04-90,0.0555,0.0555,0.0549,0.0552,10281600
CSCO,25-04-90,0.0555,0.0561,0.0555,0.0555,6768000
CSCO,26-04-90,0.0555,0.0567,0.0555,0.0555,10713600
CSCO,27-04-90,0.0555,0.0561,0.0549,0.0549,4204800
CSCO,30-04-90,0.0561,0.0585,0.0555,0.0573,34329600
CSCO,01-05-90,0.0585,0.0585,0.0573,0.0582,28771200
CSCO,02-05-90,0.0579,0.0585,0.0573,0.0573,3139200
CSCO,03-05-90,0.0585,0.0591,0.0579,0.0591,7228800
CSCO,04-05-90,0.0585,0.0597,0.0585,0.0597,5702400
CSCO,07-05-90,0.0597,0.0615,0.0597,0.0603,13536000
CSCO,08-05-90,0.0615,0.0615,0.0597,0.0609,14486400
CSCO,09-05-90,0.0609,0.0609,0.0591,0.0597,9676800
CSCO,10-05-90,0.0603,0.0603,0.0591,0.0591,2793600
CSCO,11-05-90,0.0615,0.0621,0.0591,0.0597,29923200
CSCO,14-05-90,0.0609,0.0609,0.0597,0.0597,15235200
CSCO,15-05-90,0.0609,0.0609,0.0597,0.06,24134400
CSCO,16-05-90,0.0609,0.0609,0.0591,0.0597,18720000
CSCO,17-05-90,0.0603,0.0603,0.0597,0.0603,6595200
CSCO,18-05-90,0.0597,0.0603,0.0585,0.0591,45417600
CSCO,21-05-90,0.0585,0.0603,0.0585,0.0591,4032000
CSCO,22-05-90,0.0591,0.0597,0.0591,0.0591,22982400
CSCO,23-05-90,0.0591,0.0597,0.0585,0.0585,39715200
CSCO,24-05-90,0.0597,0.0597,0.0585,0.0597,8121600
CSCO,25-05-90,0.0579,0.0591,0.0573,0.0579,4003200
CSCO,29-05-90,0.0579,0.0591,0.0567,0.0573,20707200
CSCO,30-05-90,0.0579,0.0579,0.0561,0.0567,96278400
CSCO,31-05-90,0.0561,0.0603,0.0561,0.0597,102988800
CSCO,01-06-90,0.0597,0.0615,0.0591,0.0603,103132800
CSCO,04-06-90,0.0609,0.0621,0.0597,0.0621,48499200
CSCO,05-06-90,0.0615,0.0651,0.0615,0.0645,56131200
CSCO,06-06-90,0.0645,0.0645,0.0627,0.0639,23241600
CSCO,07-06-90,0.0645,0.0645,0.0615,0.0621,18144000
CSCO,08-06-90,0.0627,0.0627,0.0603,0.0609,6566400
CSCO,11-06-90,0.0591,0.0609,0.0591,0.0606,3686400
CSCO,12-06-90,0.0609,0.0675,0.0603,0.0663,133401600
CSCO,13-06-90,0.0675,0.0675,0.0669,0.0669,52099200
CSCO,14-06-90,0.0675,0.0681,0.0663,0.0675,54374400
CSCO,15-06-90,0.0663,0.0675,0.0663,0.0663,6537600
CSCO,18-06-90,0.0675,0.0675,0.0639,0.0651,11923200
CSCO,19-06-90,0.0627,0.0645,0.0627,0.0645,20851200
CSCO,20-06-90,0.0645,0.0657,0.0639,0.0651,30124800
CSCO,21-06-90,0.0645,0.0657,0.0639,0.0657,9936000
CSCO,22-06-90,0.0657,0.0657,0.0645,0.0657,806400
CSCO,25-06-90,0.0657,0.0657,0.0645,0.0648,3600000
CSCO,26-06-90,0.0645,0.0651,0.0627,0.0639,4665600
CSCO,27-06-90,0.0645,0.0645,0.0627,0.0639,3801600
CSCO,28-06-90,0.0627,0.0639,0.0603,0.0633,153648000
CSCO,29-06-90,0.0633,0.0639,0.0627,0.0639,48268800
CSCO,02-07-90,0.0639,0.0651,0.0627,0.0645,38131200
CSCO,03-07-90,0.0639,0.0651,0.0639,0.0645,2851200
CSCO,05-07-90,0.0639,0.0639,0.0627,0.0636,6508800
CSCO,06-07-90,0.0627,0.0636,0.0627,0.0636,2476800
CSCO,09-07-90,0.0636,0.0639,0.0627,0.0633,14630400
CSCO,10-07-90,0.0645,0.0651,0.0633,0.0651,41529600
CSCO,11-07-90,0.0651,0.0669,0.0645,0.0663,32515200
CSCO,12-07-90,0.0669,0.0693,0.0663,0.0693,16617600
CSCO,13-07-90,0.0681,0.0729,0.0681,0.0729,46627200
CSCO,16-07-90,0.0723,0.0729,0.0699,0.0711,79977600
CSCO,17-07-90,0.0705,0.0711,0.0657,0.0675,42019200
CSCO,18-07-90,0.0657,0.0693,0.0657,0.0687,23529600
CSCO,19-07-90,0.0681,0.0693,0.0675,0.0675,25804800
CSCO,20-07-90,0.0681,0.0681,0.0669,0.0675,60192000
CSCO,23-07-90,0.0675,0.0675,0.0633,0.0633,35913600
CSCO,24-07-90,0.0639,0.0639,0.0573,0.0597,51264000
CSCO,25-07-90,0.0585,0.0621,0.0585,0.0615,43718400
CSCO,26-07-90,0.0615,0.0633,0.0615,0.0627,17740800
CSCO,27-07-90,0.0633,0.0633,0.0621,0.0621,8841600
CSCO,30-07-90,0.0621,0.0627,0.0609,0.0627,17856000
CSCO,31-07-90,0.0627,0.0627,0.0615,0.0615,9331200
CSCO,01-08-90,0.0615,0.0615,0.0603,0.0615,8409600
CSCO,02-08-90,0.0609,0.0609,0.0585,0.0603,6163200
CSCO,03-08-90,0.0597,0.0597,0.0555,0.0585,54460800
