name,date,open,high,low,close,volume
INTC,17-03-80,0.1846,0.1875,0.1846,0.1846,10924800
INTC,18-03-80,0.1846,0.1861,0.1831,0.1831,17068800
INTC,19-03-80,0.1875,0.1905,0.1875,0.1875,18508800
INTC,20-03-80,0.1875,0.1897,0.1868,0.1868,11174400
INTC,21-03-80,0.1831,0.1831,0.1801,0.1801,12172800
INTC,24-03-80,0.1794,0.1794,0.1765,0.1765,8966400
INTC,25-03-80,0.1772,0.1801,0.1772,0.1772,11347200
INTC,26-03-80,0.1772,0.1787,0.1757,0.1757,16262400
INTC,27-03-80,0.1728,0.1728,0.1698,0.1698,26918400
INTC,28-03-80,0.1765,0.1794,0.1765,0.1765,20102400
INTC,31-03-80,0.1824,0.1853,0.1824,0.1824,9004800
INTC,01-04-80,0.1831,0.1861,0.1831,0.1831,8179200
INTC,02-04-80,0.1846,0.1875,0.1846,0.1846,12556800
INTC,03-04-80,0.1838,0.1838,0.1809,0.1809,6988800
INTC,07-04-80,0.1794,0.1794,0.1765,0.1765,13478400
INTC,08-04-80,0.1772,0.1801,0.1772,0.1772,29184000
INTC,09-04-80,0.1765,0.1765,0.1735,0.1735,11558400
INTC,10-04-80,0.1735,0.1757,0.1728,0.1728,14784000
INTC,11-04-80,0.1728,0.1757,0.1728,0.1728,9523200
INTC,14-04-80,0.1742,0.1772,0.1742,0.1742,8025600
INTC,15-04-80,0.1742,0.175,0.172,0.172,10598400
INTC,16-04-80,0.1683,0.1683,0.1654,0.1654,10752000
INTC,17-04-80,0.1654,0.1654,0.1624,0.1624,17702400
INTC,18-04-80,0.1646,0.1676,0.1646,0.1646,18739200
INTC,21-04-80,0.1646,0.1661,0.1632,0.1632,9043200
INTC,22-04-80,0.1705,0.1735,0.1705,0.1705,20428800
INTC,23-04-80,0.1809,0.1838,0.1809,0.1809,14822400
INTC,24-04-80,0.1816,0.1846,0.1816,0.1816,8832000
INTC,25-04-80,0.1816,0.1816,0.1787,0.1787,7104000
INTC,28-04-80,0.1787,0.1801,0.1772,0.1772,6931200
INTC,29-04-80,0.1787,0.1816,0.1787,0.1787,6297600
INTC,30-04-80,0.1809,0.1838,0.1809,0.1809,7065600
INTC,01-05-80,0.1816,0.1846,0.1816,0.1816,7008000
INTC,02-05-80,0.1846,0.1875,0.1846,0.1846,5510400
INTC,05-05-80,0.1868,0.1897,0.1868,0.1868,3513600
INTC,06-05-80,0.1868,0.189,0.1861,0.1861,6988800
INTC,07-05-80,0.1861,0.189,0.1861,0.1861,6393600
INTC,08-05-80,0.1861,0.1868,0.1838,0.1838,7468800
INTC,09-05-80,0.1861,0.189,0.1861,0.1861,16684800
INTC,12-05-80,0.1861,0.1883,0.1853,0.1853,8582400
INTC,13-05-80,0.189,0.192,0.189,0.189,7372800
INTC,14-05-80,0.192,0.1949,0.192,0.192,4742400
INTC,15-05-80,0.1934,0.1964,0.1934,0.1934,8102400
INTC,16-05-80,0.1957,0.1986,0.1957,0.1957,4838400
INTC,19-05-80,0.1964,0.1993,0.1964,0.1964,8640000
INTC,20-05-80,0.1964,0.1971,0.1942,0.1942,21811200
INTC,21-05-80,0.1927,0.1927,0.1897,0.1897,10540800
INTC,22-05-80,0.1897,0.1905,0.1875,0.1875,5318400
INTC,23-05-80,0.1942,0.1971,0.1942,0.1942,29779200
INTC,27-05-80,0.1942,0.1964,0.1934,0.1934,8332800
INTC,28-05-80,0.1979,0.2008,0.1979,0.1979,6700800
INTC,29-05-80,0.1979,0.2008,0.1979,0.1979,7660800
INTC,30-05-80,0.2008,0.2038,0.2008,0.2008,5721600
INTC,02-06-80,0.2016,0.2045,0.2016,0.2016,6355200
INTC,03-06-80,0.1993,0.1993,0.1964,0.1964,15244800
INTC,04-06-80,0.1993,0.2023,0.1993,0.1993,7680000
INTC,05-06-80,0.1993,0.2023,0.1993,0.1993,6470400
INTC,06-06-80,0.1993,0.2008,0.1979,0.1979,28723200
INTC,09-06-80,0.1979,0.1993,0.1964,0.1964,7545600
INTC,10-06-80,0.1986,0.2016,0.1986,0.1986,17280000
INTC,11-06-80,0.2008,0.2038,0.2008,0.2008,3206400
INTC,12-06-80,0.2008,0.2008,0.1979,0.1979,10809600
INTC,13-06-80,0.1979,0.2008,0.1979,0.1979,3590400
INTC,16-06-80,0.1979,0.2008,0.1979,0.1979,7987200
INTC,17-06-80,0.1979,0.2001,0.1971,0.1971,12864000
INTC,18-06-80,0.1971,0.1986,0.1957,0.1957,8064000
INTC,19-06-80,0.1949,0.1949,0.192,0.192,13689600
INTC,20-06-80,0.1927,0.1957,0.1927,0.1927,7027200
INTC,23-06-80,0.1927,0.1957,0.1927,0.1927,9888000
INTC,24-06-80,0.1927,0.1957,0.1927,0.1927,9676800
INTC,25-06-80,0.1949,0.1979,0.1949,0.1949,15494400
INTC,26-06-80,0.1949,0.1979,0.1949,0.1949,10156800
INTC,27-06-80,0.1957,0.1986,0.1957,0.1957,6912000
INTC,30-06-80,0.1957,0.1971,0.1942,0.1942,5337600
INTC,01-07-80,0.1971,0.2001,0.1971,0.1971,9811200
INTC,02-07-80,0.1986,0.2016,0.1986,0.1986,6585600
INTC,03-07-80,0.2001,0.203,0.2001,0.2001,4550400
INTC,07-07-80,0.2075,0.2089,0.2075,0.2075,19545600
INTC,08-07-80,0.2119,0.2134,0.2119,0.2119,13190400
INTC,09-07-80,0.2119,0.2126,0.2119,0.2119,9388800
INTC,10-07-80,0.2148,0.2156,0.2148,0.2148,14092800
INTC,11-07-80,0.2148,0.2156,0.2141,0.2141,9888000
INTC,14-07-80,0.2163,0.2178,0.2163,0.2163,15052800
INTC,15-07-80,0.223,0.2237,0.223,0.223,20678400
INTC,16-07-80,0.2267,0.2274,0.2267,0.2267,11692800
INTC,17-07-80,0.2318,0.2333,0.2318,0.2318,15456000
INTC,18-07-80,0.2377,0.2385,0.2377,0.2377,12576000
INTC,21-07-80,0.2377,0.2385,0.2377,0.2377,14208000
INTC,22-07-80,0.2363,0.2363,0.2348,0.2348,14150400
INTC,23-07-80,0.2333,0.2333,0.2326,0.2326,8371200
INTC,24-07-80,0.2318,0.2318,0.2311,0.2311,11616000
INTC,25-07-80,0.2296,0.2296,0.2289,0.2289,22156800
INTC,28-07-80,0.2311,0.2326,0.2311,0.2311,7372800
INTC,29-07-80,0.2414,0.2429,0.2414,0.2414,11424000
INTC,30-07-80,0.2488,0.2495,0.2488,0.2488,12614400
INTC,31-07-80,0.2503,0.2518,0.2503,0.2503,24384000
INTC,01-08-80,0.2488,0.2488,0.2466,0.2466,9523200
INTC,04-08-80,0.2503,0.2525,0.2503,0.2503,5721600
INTC,05-08-80,0.2518,0.2532,0.2518,0.2518,6720000
INTC,06-08-80,0.2518,0.2518,0.2495,0.2495,11193600
INTC,07-08-80,0.2525,0.2532,0.2525,0.2525,8812800
INTC,08-08-80,0.2562,0.2577,0.2562,0.2562,5817600
INTC,11-08-80,0.2724,0.2739,0.2724,0.2724,7276800
INTC,12-08-80,0.2732,0.2761,0.2732,0.2732,22406400
INTC,13-08-80,0.2695,0.2695,0.268,0.268,12153600
INTC,14-08-80,0.268,0.2687,0.268,0.268,8793600
INTC,15-08-80,0.2658,0.2658,0.2643,0.2643,41011200
INTC,18-08-80,0.2577,0.2577,0.2569,0.2569,7699200
INTC,19-08-80,0.254,0.254,0.2532,0.2532,8889600
INTC,20-08-80,0.2584,0.2599,0.2584,0.2584,11808000
INTC,21-08-80,0.2614,0.2621,0.2614,0.2614,11251200
INTC,22-08-80,0.2628,0.2636,0.2628,0.2628,38515200
INTC,25-08-80,0.2628,0.2636,0.2628,0.2628,11174400
INTC,26-08-80,0.2628,0.2636,0.2628,0.2628,20160000
INTC,27-08-80,0.2628,0.2628,0.2621,0.2621,3513600
INTC,28-08-80,0.2606,0.2606,0.2599,0.2599,6451200
INTC,29-08-80,0.2591,0.2591,0.2584,0.2584,15552000
INTC,02-09-80,0.2621,0.2628,0.2621,0.2621,6816000
INTC,03-09-80,0.2702,0.2717,0.2702,0.2702,9292800
INTC,04-09-80,0.2724,0.2739,0.2724,0.2724,16147200
INTC,05-09-80,0.2717,0.2717,0.271,0.271,6259200
INTC,08-09-80,0.2651,0.2651,0.2636,0.2636,4300800
INTC,09-09-80,0.2643,0.2651,0.2643,0.2643,13632000
INTC,10-09-80,0.2628,0.2628,0.2614,0.2614,10099200
INTC,11-09-80,0.2628,0.2636,0.2628,0.2628,5990400
INTC,12-09-80,0.2628,0.2628,0.2621,0.2621,4800000
INTC,15-09-80,0.2599,0.2599,0.2591,0.2591,5337600
INTC,16-09-80,0.2665,0.2673,0.2665,0.2665,9139200
INTC,17-09-80,0.2783,0.2791,0.2783,0.2783,11577600
INTC,18-09-80,0.2791,0.2798,0.2791,0.2791,14227200
INTC,19-09-80,0.2813,0.282,0.2813,0.2813,6086400
INTC,22-09-80,0.2783,0.2783,0.2769,0.2769,8313600
INTC,23-09-80,0.2673,0.2673,0.2665,0.2665,7142400
INTC,24-09-80,0.2651,0.2651,0.2636,0.2636,10022400
INTC,25-09-80,0.2614,0.2614,0.2606,0.2606,11520000
INTC,26-09-80,0.2584,0.2584,0.2569,0.2569,9312000
INTC,29-09-80,0.2577,0.2584,0.2577,0.2577,3801600
INTC,30-09-80,0.2628,0.2643,0.2628,0.2628,6086400
INTC,01-10-80,0.2658,0.2665,0.2658,0.2658,5971200
