name,date,open,high,low,close,volume
JNJ,02-01-70,0.402,0.4031,0.3919,0.3919,1195200
JNJ,05-01-70,0.3919,0.393,0.3819,0.3824,964800
JNJ,06-01-70,0.3824,0.3897,0.3807,0.3897,1036800
JNJ,07-01-70,0.3897,0.3908,0.3869,0.388,331200
JNJ,08-01-70,0.388,0.3941,0.388,0.3908,460800
JNJ,09-01-70,0.393,0.3986,0.393,0.393,748800
JNJ,12-01-70,0.393,0.393,0.3863,0.3863,864000
JNJ,13-01-70,0.3874,0.393,0.3874,0.3897,849600
JNJ,14-01-70,0.3897,0.3964,0.3897,0.3953,619200
JNJ,15-01-70,0.3953,0.3964,0.3947,0.3958,1209600
JNJ,16-01-70,0.3958,0.3958,0.3941,0.3953,734400
JNJ,19-01-70,0.3947,0.3947,0.3897,0.3902,1180800
JNJ,20-01-70,0.3902,0.3902,0.3835,0.3902,763200
JNJ,21-01-70,0.3902,0.3919,0.3891,0.3919,878400
JNJ,22-01-70,0.3919,0.393,0.3897,0.393,360000
JNJ,23-01-70,0.393,0.3941,0.3902,0.3908,979200
JNJ,26-01-70,0.3908,0.3908,0.3886,0.3908,979200
JNJ,27-01-70,0.3891,0.3891,0.3863,0.3863,532800
JNJ,28-01-70,0.383,0.383,0.3651,0.3651,1497600
JNJ,29-01-70,0.364,0.364,0.345,0.3573,3585600
JNJ,30-01-70,0.3528,0.3528,0.3461,0.3528,2808000
JNJ,02-02-70,0.3567,0.3707,0.3567,0.3707,1612800
JNJ,03-02-70,0.3707,0.3863,0.3685,0.3685,2692800
JNJ,04-02-70,0.3646,0.3646,0.3478,0.3523,2793600
JNJ,05-02-70,0.3523,0.3685,0.3512,0.3685,1886400
JNJ,06-02-70,0.3662,0.3662,0.3618,0.364,705600
JNJ,09-02-70,0.3729,0.383,0.3729,0.3802,1684800
JNJ,10-02-70,0.3863,0.3908,0.3863,0.3874,2505600
JNJ,11-02-70,0.3863,0.3863,0.3824,0.3841,2232000
JNJ,12-02-70,0.3841,0.3841,0.3676,0.3701,3369600
JNJ,13-02-70,0.3687,0.3687,0.3573,0.3618,1540800
JNJ,16-02-70,0.3624,0.3641,0.3616,0.3616,820800
JNJ,17-02-70,0.3616,0.3619,0.3512,0.3546,1915200
JNJ,18-02-70,0.3557,0.3585,0.3557,0.3574,878400
JNJ,19-02-70,0.3574,0.3574,0.354,0.3549,576000
JNJ,20-02-70,0.354,0.354,0.3468,0.3482,1396800
JNJ,24-02-70,0.3482,0.3496,0.3384,0.3406,3744000
JNJ,25-02-70,0.3406,0.3535,0.3389,0.3535,2822400
JNJ,26-02-70,0.3501,0.3501,0.3429,0.3468,1353600
JNJ,27-02-70,0.349,0.358,0.349,0.3565,1627200
JNJ,02-03-70,0.3565,0.3619,0.3535,0.3535,1051200
JNJ,03-03-70,0.3535,0.354,0.3479,0.354,1468800
JNJ,04-03-70,0.354,0.3602,0.354,0.3574,734400
JNJ,05-03-70,0.3574,0.3585,0.3557,0.3568,892800
JNJ,06-03-70,0.3568,0.3568,0.3507,0.3518,907200
JNJ,09-03-70,0.3507,0.3507,0.3479,0.3496,273600
JNJ,10-03-70,0.3479,0.3479,0.3437,0.3468,1353600
JNJ,11-03-70,0.3468,0.3512,0.3457,0.3496,432000
JNJ,12-03-70,0.3499,0.3524,0.3499,0.3507,388800
JNJ,13-03-70,0.349,0.349,0.3468,0.3468,1339200
JNJ,16-03-70,0.3468,0.3468,0.3406,0.3412,806400
JNJ,17-03-70,0.3412,0.3423,0.3395,0.3395,1267200
JNJ,18-03-70,0.3401,0.3429,0.3401,0.3429,748800
JNJ,19-03-70,0.344,0.3457,0.344,0.344,1123200
JNJ,20-03-70,0.344,0.344,0.3417,0.344,518400
JNJ,23-03-70,0.3434,0.3434,0.3401,0.3412,216000
JNJ,24-03-70,0.3409,0.3409,0.3356,0.3392,1670400
JNJ,25-03-70,0.3423,0.3546,0.3423,0.3501,2275200
JNJ,26-03-70,0.3501,0.3524,0.349,0.3501,936000
JNJ,30-03-70,0.3501,0.3518,0.3479,0.3484,1368000
JNJ,31-03-70,0.3468,0.3468,0.3434,0.3457,676800
JNJ,01-04-70,0.3445,0.3445,0.3423,0.3431,820800
JNJ,02-04-70,0.3412,0.3412,0.3367,0.3375,792000
JNJ,03-04-70,0.3375,0.3395,0.3375,0.3389,1008000
JNJ,06-04-70,0.3389,0.3406,0.3294,0.33,2275200
JNJ,07-04-70,0.3294,0.3294,0.3199,0.3205,1526400
JNJ,08-04-70,0.3205,0.321,0.3182,0.3199,734400
JNJ,09-04-70,0.3199,0.3278,0.3199,0.3272,820800
JNJ,10-04-70,0.3272,0.3322,0.3258,0.3266,3312000
JNJ,13-04-70,0.3266,0.3266,0.3222,0.3244,878400
JNJ,14-04-70,0.3244,0.33,0.3199,0.3294,835200
JNJ,15-04-70,0.3294,0.335,0.3289,0.3311,2217600
JNJ,16-04-70,0.3311,0.3311,0.3272,0.3275,1252800
JNJ,17-04-70,0.3275,0.3278,0.3266,0.3272,950400
JNJ,20-04-70,0.3272,0.3278,0.325,0.3266,1425600
JNJ,21-04-70,0.3266,0.3289,0.3244,0.3247,518400
JNJ,22-04-70,0.3244,0.3244,0.3222,0.3225,561600
JNJ,23-04-70,0.3225,0.3227,0.3121,0.3129,763200
JNJ,24-04-70,0.3129,0.3132,0.3113,0.3115,792000
JNJ,27-04-70,0.3113,0.3113,0.3076,0.3082,705600
JNJ,28-04-70,0.3082,0.3087,0.3065,0.3065,676800
JNJ,29-04-70,0.3065,0.3177,0.3009,0.3177,2534400
JNJ,30-04-70,0.3177,0.3244,0.3177,0.3199,532800
JNJ,01-05-70,0.3199,0.3199,0.3177,0.3182,316800
JNJ,04-05-70,0.3143,0.3143,0.3082,0.3082,576000
JNJ,05-05-70,0.3071,0.3071,0.3048,0.3048,950400
JNJ,06-05-70,0.3048,0.3099,0.3048,0.3099,1166400
JNJ,07-05-70,0.311,0.3155,0.311,0.3143,1137600
JNJ,08-05-70,0.3143,0.3166,0.3076,0.3099,921600
JNJ,11-05-70,0.3057,0.3057,0.302,0.302,705600
JNJ,12-05-70,0.302,0.3099,0.3015,0.3043,763200
JNJ,13-05-70,0.3031,0.3031,0.3015,0.3023,360000
JNJ,14-05-70,0.3023,0.3026,0.2953,0.2992,1094400
JNJ,15-05-70,0.302,0.3132,0.302,0.3132,676800
JNJ,18-05-70,0.3255,0.3255,0.3171,0.3171,187200
JNJ,19-05-70,0.3171,0.3188,0.3003,0.3003,657600
JNJ,20-05-70,0.3003,0.302,0.2961,0.2961,542400
JNJ,21-05-70,0.292,0.292,0.2794,0.2852,1881600
