name,date,open,high,low,close,volume
MCD,02-01-70,0.177,0.1821,0.177,0.1821,2825604
MCD,05-01-70,0.1821,0.1852,0.1811,0.1852,2210450
MCD,06-01-70,0.1852,0.1883,0.1852,0.1862,1951169
MCD,07-01-70,0.1862,0.1883,0.1852,0.1852,2728769
MCD,08-01-70,0.1852,0.1868,0.1852,0.1852,2242404
MCD,09-01-70,0.1852,0.1857,0.179,0.18,3288033
MCD,12-01-70,0.18,0.1805,0.1708,0.1728,2462441
MCD,13-01-70,0.1718,0.1718,0.1682,0.1698,2380793
MCD,14-01-70,0.1698,0.1702,0.1682,0.1702,1003955
MCD,15-01-70,0.1702,0.1702,0.1682,0.1693,1869642
MCD,16-01-70,0.1693,0.1698,0.1656,0.1677,1635147
MCD,19-01-70,0.1677,0.1682,0.161,0.161,1286442
MCD,20-01-70,0.161,0.1656,0.1574,0.1656,2851241
MCD,21-01-70,0.1656,0.1698,0.1646,0.1646,1188756
MCD,22-01-70,0.1646,0.1667,0.161,0.1615,1966356
MCD,23-01-70,0.1626,0.1646,0.1626,0.163,1829547
MCD,26-01-70,0.162,0.162,0.16,0.1605,1700028
MCD,27-01-70,0.1605,0.161,0.1595,0.1605,1853604
MCD,28-01-70,0.1605,0.1605,0.1574,0.1579,1869642
MCD,29-01-70,0.1579,0.1584,0.1528,0.1533,3262397
MCD,30-01-70,0.1533,0.1559,0.1533,0.1554,2971161
MCD,02-02-70,0.1574,0.1615,0.1574,0.1605,3651197
MCD,03-02-70,0.1605,0.1728,0.1605,0.1667,4039997
MCD,04-02-70,0.1672,0.1728,0.1672,0.1708,1440747
MCD,05-02-70,0.1708,0.1728,0.1687,0.1728,324041
MCD,06-02-70,0.1754,0.1821,0.1754,0.1821,1480842
MCD,09-02-70,0.1821,0.1852,0.1811,0.1816,929597
MCD,10-02-70,0.1811,0.1811,0.1759,0.1775,760833
MCD,11-02-70,0.1775,0.178,0.1718,0.1764,2355156
MCD,12-02-70,0.1764,0.177,0.1728,0.1744,655250
MCD,13-02-70,0.1744,0.1775,0.1728,0.1775,703242
MCD,16-02-70,0.1775,0.179,0.1754,0.1759,420755
MCD,17-02-70,0.1759,0.177,0.1728,0.1749,777600
MCD,18-02-70,0.1764,0.1826,0.1764,0.1816,1068836
