name,date,open,high,low,close,volume
NVDA,22-01-99,0.4019,0.4486,0.3565,0.3768,271468800
NVDA,25-01-99,0.4067,0.421,0.3768,0.4162,51048000
NVDA,26-01-99,0.421,0.4294,0.378,0.3839,34320000
NVDA,27-01-99,0.3852,0.3948,0.3636,0.3827,24436800
NVDA,28-01-99,0.3827,0.3852,0.3791,0.3816,22752000
NVDA,29-01-99,0.3816,0.3827,0.3636,0.3636,24403200
NVDA,01-02-99,0.3636,0.3732,0.3636,0.3709,15470400
NVDA,02-02-99,0.3636,0.3732,0.3313,0.3422,26409600
NVDA,03-02-99,0.3374,0.354,0.3349,0.3492,7512000
NVDA,04-02-99,0.354,0.378,0.3492,0.3684,18192000
NVDA,05-02-99,0.3743,0.3827,0.3647,0.3791,13684800
NVDA,08-02-99,0.3816,0.3827,0.3661,0.3661,15408000
NVDA,09-02-99,0.3732,0.3757,0.3469,0.3517,8697600
NVDA,10-02-99,0.3517,0.3613,0.3422,0.3481,14822400
NVDA,11-02-99,0.3492,0.3923,0.3492,0.378,13224000
NVDA,12-02-99,0.3827,0.4019,0.3827,0.3996,10972800
NVDA,16-02-99,0.4067,0.4235,0.3613,0.4019,21100800
NVDA,17-02-99,0.3923,0.3971,0.3732,0.3804,6772800
NVDA,18-02-99,0.3923,0.3971,0.3757,0.3864,7070400
NVDA,19-02-99,0.3827,0.4067,0.378,0.3996,7536000
NVDA,22-02-99,0.4067,0.4114,0.3804,0.4019,20524800
NVDA,23-02-99,0.4114,0.4294,0.3875,0.421,13809600
NVDA,24-02-99,0.4832,0.5023,0.4438,0.4545,61276800
NVDA,25-02-99,0.4736,0.488,0.4331,0.4401,14913600
NVDA,26-02-99,0.4449,0.4593,0.4162,0.4199,17260800
NVDA,01-03-99,0.4306,0.4401,0.4019,0.4222,9216000
NVDA,02-03-99,0.421,0.4235,0.4114,0.4187,5524800
NVDA,03-03-99,0.421,0.421,0.3875,0.39,6139200
NVDA,04-03-99,0.4091,0.4114,0.378,0.3816,5736000
NVDA,05-03-99,0.3852,0.4044,0.3852,0.403,7876800
NVDA,08-03-99,0.3923,0.421,0.3852,0.4091,7588800
NVDA,09-03-99,0.4078,0.4283,0.4078,0.4222,14318400
NVDA,10-03-99,0.4283,0.4283,0.4091,0.4151,23534400
NVDA,11-03-99,0.4078,0.4151,0.3971,0.3971,5428800
NVDA,12-03-99,0.3996,0.3996,0.3827,0.39,9076800
NVDA,15-03-99,0.3996,0.4114,0.3971,0.4067,10881600
NVDA,16-03-99,0.4091,0.4139,0.39,0.3935,7915200
NVDA,17-03-99,0.3971,0.4044,0.3864,0.3959,5136000
NVDA,18-03-99,0.3971,0.4067,0.3875,0.4007,4632000
NVDA,19-03-99,0.3996,0.4139,0.3996,0.4019,10531200
NVDA,22-03-99,0.4103,0.4114,0.39,0.39,3667200
NVDA,23-03-99,0.3923,0.3923,0.3588,0.3661,16396800
NVDA,24-03-99,0.3636,0.3661,0.3492,0.3636,6086400
NVDA,25-03-99,0.3624,0.3827,0.3613,0.3684,4032000
NVDA,26-03-99,0.3732,0.4019,0.3732,0.4007,8827200
