name,date,open,high,low,close,volume
ORCL,12-03-86,0.0523,0.0529,0.0523,0.0523,392979600
ORCL,13-03-86,0.0536,0.0542,0.0536,0.0536,125290800
ORCL,14-03-86,0.0555,0.0561,0.0555,0.0555,57866400
ORCL,17-03-86,0.0548,0.0548,0.0542,0.0542,28285200
ORCL,18-03-86,0.0536,0.0536,0.0529,0.0529,32335200
ORCL,19-03-86,0.0529,0.0529,0.0516,0.0516,22712400
ORCL,20-03-86,0.0516,0.0523,0.0516,0.0516,17787600
ORCL,21-03-86,0.051,0.051,0.0497,0.0497,16232400
ORCL,24-03-86,0.0497,0.0504,0.0497,0.0497,20736000
ORCL,25-03-86,0.0497,0.0504,0.0497,0.0497,21675600
ORCL,26-03-86,0.0504,0.0516,0.0504,0.0504,23328000
ORCL,27-03-86,0.0523,0.0536,0.0523,0.0523,21513600
ORCL,31-03-86,0.0529,0.0536,0.0529,0.0529,9882000
ORCL,01-04-86,0.051,0.051,0.0504,0.0504,20314800
ORCL,02-04-86,0.0504,0.051,0.0497,0.0497,12960000
ORCL,03-04-86,0.0516,0.0529,0.0516,0.0516,11955600
ORCL,04-04-86,0.0516,0.0523,0.051,0.051,10659600
ORCL,07-04-86,0.0516,0.0523,0.0516,0.0516,9007200
ORCL,08-04-86,0.0516,0.0529,0.0516,0.0516,15001200
ORCL,09-04-86,0.0516,0.0523,0.0516,0.0516,8942400
ORCL,10-04-86,0.0516,0.0523,0.0516,0.0516,9428400
ORCL,11-04-86,0.0529,0.0536,0.0529,0.0529,18273600
ORCL,14-04-86,0.0529,0.0536,0.0529,0.0529,46785600
ORCL,15-04-86,0.0529,0.0536,0.0529,0.0536,12020400
ORCL,16-04-86,0.0536,0.0561,0.0529,0.0561,22550400
ORCL,17-04-86,0.0561,0.0612,0.0561,0.0612,19699200
ORCL,18-04-86,0.0612,0.0676,0.0612,0.0663,27799200
ORCL,21-04-86,0.0663,0.0736,0.0657,0.0727,33534000
ORCL,22-04-86,0.0727,0.0727,0.0682,0.0689,38264400
ORCL,23-04-86,0.0689,0.0689,0.0669,0.0669,4114800
ORCL,24-04-86,0.0669,0.0682,0.0669,0.0682,10789200
ORCL,25-04-86,0.0682,0.0695,0.0682,0.0695,4633200
ORCL,28-04-86,0.0695,0.0714,0.0695,0.0701,46008000
ORCL,29-04-86,0.0701,0.0708,0.0689,0.0695,2786400
ORCL,30-04-86,0.0682,0.0682,0.0638,0.0638,9720000
ORCL,01-05-86,0.0638,0.0657,0.0638,0.065,21546000
ORCL,02-05-86,0.065,0.0657,0.0612,0.0612,10627200
ORCL,05-05-86,0.0612,0.0625,0.0612,0.0625,4924800
ORCL,06-05-86,0.0625,0.0644,0.0612,0.0644,7257600
ORCL,07-05-86,0.0644,0.0657,0.0644,0.0657,11826000
ORCL,08-05-86,0.0657,0.0676,0.065,0.0663,21254400
ORCL,09-05-86,0.0663,0.0676,0.0663,0.0676,7581600
ORCL,12-05-86,0.0676,0.0676,0.0663,0.0669,11404800
ORCL,13-05-86,0.0669,0.0689,0.0663,0.0689,35510400
ORCL,14-05-86,0.0689,0.0689,0.0669,0.0669,2559600
ORCL,15-05-86,0.0669,0.0682,0.0669,0.0682,939600
ORCL,16-05-86,0.0682,0.0689,0.0676,0.0689,3985200
ORCL,19-05-86,0.0689,0.0689,0.065,0.065,8974800
ORCL,20-05-86,0.065,0.0663,0.065,0.065,4438800
ORCL,21-05-86,0.065,0.0657,0.065,0.0657,874800
ORCL,22-05-86,0.0657,0.0657,0.0631,0.0638,11599200
ORCL,23-05-86,0.0638,0.0644,0.0625,0.0625,4600800
ORCL,27-05-86,0.0625,0.0638,0.0618,0.0631,2430000
ORCL,28-05-86,0.0631,0.0631,0.0618,0.0631,1198800
ORCL,29-05-86,0.0618,0.0618,0.0606,0.0606,5086800
ORCL,30-05-86,0.0606,0.0618,0.0593,0.0599,20574000
ORCL,02-06-86,0.0599,0.0599,0.0567,0.058,8845200
ORCL,03-06-86,0.058,0.0596,0.0536,0.0596,62175600
