name,date,open,high,low,close,volume
PEP,01-06-72,0.6768,0.6785,0.6707,0.6785,318600
PEP,02-06-72,0.6785,0.6854,0.6766,0.6766,140400
PEP,05-06-72,0.6766,0.6776,0.654,0.6668,469800
PEP,06-06-72,0.6609,0.6609,0.6589,0.6609,140400
PEP,07-06-72,0.6609,0.6619,0.655,0.657,178200
PEP,08-06-72,0.657,0.6589,0.653,0.657,432000
PEP,09-06-72,0.657,0.6589,0.6559,0.6579,199800
PEP,12-06-72,0.6579,0.6589,0.655,0.6559,183600
PEP,13-06-72,0.657,0.6639,0.657,0.6639,415800
PEP,14-06-72,0.6658,0.6727,0.6658,0.6707,216000
PEP,15-06-72,0.6707,0.6727,0.6678,0.6687,178200
PEP,16-06-72,0.6687,0.6727,0.6648,0.6678,183600
PEP,19-06-72,0.6678,0.6707,0.6609,0.6658,324000
PEP,20-06-72,0.6658,0.6668,0.6628,0.6658,129600
PEP,21-06-72,0.6658,0.6707,0.6639,0.6668,356400
PEP,22-06-72,0.6668,0.6717,0.6648,0.6707,324000
PEP,23-06-72,0.6707,0.6756,0.6707,0.6746,275400
PEP,26-06-72,0.6746,0.6746,0.6687,0.6687,194400
PEP,27-06-72,0.6687,0.6707,0.6648,0.6648,669600
PEP,28-06-72,0.6648,0.6658,0.6628,0.6639,75600
PEP,29-06-72,0.6639,0.6678,0.655,0.6639,280800
PEP,30-06-72,0.6639,0.6668,0.6559,0.6579,135000
PEP,03-07-72,0.6579,0.6589,0.653,0.657,216000
PEP,05-07-72,0.657,0.6579,0.6491,0.6579,372600
PEP,06-07-72,0.6579,0.6717,0.6579,0.6648,793800
PEP,07-07-72,0.6639,0.6639,0.655,0.655,259200
PEP,10-07-72,0.655,0.6609,0.6491,0.655,372600
PEP,11-07-72,0.655,0.6619,0.652,0.6599,1080000
PEP,12-07-72,0.6599,0.6639,0.6599,0.6609,367200
PEP,13-07-72,0.6609,0.6648,0.657,0.6648,302400
PEP,14-07-72,0.6658,0.6903,0.6658,0.6883,993600
PEP,17-07-72,0.6883,0.6942,0.6815,0.6844,561600
PEP,18-07-72,0.6844,0.6844,0.6746,0.6766,302400
PEP,19-07-72,0.6766,0.6785,0.6687,0.6687,356400
PEP,20-07-72,0.6668,0.6668,0.6628,0.6628,243000
PEP,21-07-72,0.6628,0.6678,0.6609,0.6648,275400
PEP,24-07-72,0.6648,0.6687,0.6648,0.6658,410400
PEP,25-07-72,0.6668,0.6717,0.6668,0.6678,469800
PEP,26-07-72,0.6678,0.6727,0.6678,0.6727,145800
PEP,27-07-72,0.6727,0.6952,0.6707,0.6942,739800
PEP,28-07-72,0.6942,0.6962,0.6864,0.6864,318600
PEP,31-07-72,0.6864,0.6903,0.6835,0.6854,167400
PEP,01-08-72,0.6854,0.6923,0.6835,0.6923,783000
PEP,02-08-72,0.6923,0.7021,0.6903,0.6981,523800
PEP,03-08-72,0.6981,0.6991,0.6883,0.6903,410400
PEP,04-08-72,0.6903,0.6903,0.6785,0.6903,432000
PEP,07-08-72,0.6893,0.6893,0.6825,0.6893,151200
PEP,08-08-72,0.6893,0.6893,0.6835,0.6854,329400
PEP,09-08-72,0.6854,0.6874,0.6756,0.6864,669600
PEP,10-08-72,0.6864,0.6864,0.6835,0.6864,372600
PEP,11-08-72,0.6864,0.6903,0.6844,0.6874,480600
PEP,14-08-72,0.6893,0.701,0.6893,0.6912,756000
PEP,15-08-72,0.6912,0.6962,0.6883,0.6893,291600
PEP,16-08-72,0.6893,0.6923,0.6874,0.6874,194400
PEP,17-08-72,0.6874,0.6912,0.6874,0.6883,280800
PEP,18-08-72,0.6883,0.6903,0.6864,0.6893,923400
