name,date,open,high,low,close,volume
QCOM,16-12-91,0.343,0.3891,0.343,0.3686,143667200
QCOM,17-12-91,0.3788,0.3788,0.3583,0.3635,16176000
QCOM,18-12-91,0.3635,0.3737,0.3635,0.3737,10899200
QCOM,19-12-91,0.3737,0.3737,0.3583,0.3583,7299200
QCOM,20-12-91,0.3583,0.3737,0.3583,0.3686,5235200
QCOM,23-12-91,0.3737,0.3737,0.3583,0.3659,7894400
QCOM,24-12-91,0.3608,0.3942,0.3583,0.3942,7129600
QCOM,26-12-91,0.3839,0.4505,0.3839,0.4505,8672000
QCOM,27-12-91,0.4556,0.4556,0.4249,0.4351,6396800
QCOM,30-12-91,0.4351,0.4454,0.4249,0.4454,6627200
QCOM,31-12-91,0.4454,0.5119,0.4402,0.5068,12572800
QCOM,02-01-92,0.5068,0.5682,0.5017,0.5656,22121600
QCOM,03-01-92,0.5682,0.5836,0.5529,0.5733,6092800
QCOM,06-01-92,0.5887,0.5887,0.4966,0.5375,15987200
QCOM,07-01-92,0.5324,0.5477,0.517,0.5221,4940800
QCOM,08-01-92,0.5273,0.5273,0.4454,0.4607,36828800
QCOM,09-01-92,0.4761,0.5068,0.471,0.5068,20809600
QCOM,10-01-92,0.5119,0.517,0.4761,0.4914,7961600
QCOM,13-01-92,0.5017,0.5477,0.4863,0.5324,8499200
QCOM,14-01-92,0.5477,0.5477,0.5273,0.5375,3628800
QCOM,15-01-92,0.5477,0.558,0.5324,0.5426,5910400
QCOM,16-01-92,0.5477,0.5529,0.5068,0.5273,3654400
QCOM,17-01-92,0.517,0.5324,0.517,0.517,1574400
QCOM,20-01-92,0.5119,0.5221,0.4863,0.5119,3350400
QCOM,21-01-92,0.5221,0.5221,0.4812,0.4914,3724800
QCOM,22-01-92,0.4914,0.5119,0.4812,0.5119,5132800
QCOM,23-01-92,0.5221,0.5221,0.4812,0.4812,3248000
QCOM,24-01-92,0.4812,0.4966,0.4812,0.4863,355200
QCOM,27-01-92,0.4966,0.4966,0.4658,0.4761,2675200
QCOM,28-01-92,0.4761,0.4761,0.4505,0.4607,3673600
QCOM,29-01-92,0.4658,0.4812,0.4505,0.471,1702400
QCOM,30-01-92,0.4658,0.5017,0.4658,0.4863,2505600
QCOM,31-01-92,0.4863,0.4914,0.4812,0.4914,1702400
QCOM,03-02-92,0.4914,0.5273,0.4863,0.5041,2611200
QCOM,04-02-92,0.5068,0.5273,0.4966,0.5119,4233600
QCOM,05-02-92,0.5068,0.517,0.5068,0.5068,3280000
QCOM,06-02-92,0.5221,0.5221,0.4966,0.4966,7232000
QCOM,07-02-92,0.5119,0.5119,0.4454,0.4812,8979200
QCOM,10-02-92,0.4658,0.4812,0.4505,0.4607,4940800
QCOM,11-02-92,0.4658,0.4812,0.4556,0.4658,1667200
QCOM,12-02-92,0.4658,0.5068,0.4556,0.4914,3603200
QCOM,13-02-92,0.5017,0.5017,0.4658,0.4658,1398400
QCOM,14-02-92,0.4761,0.4761,0.4607,0.4761,2825600
QCOM,18-02-92,0.4761,0.4761,0.4556,0.4658,1078400
QCOM,19-02-92,0.4505,0.4658,0.4454,0.4505,1408000
QCOM,20-02-92,0.4505,0.4761,0.4505,0.4761,5705600
QCOM,21-02-92,0.4607,0.4761,0.43,0.43,3836800
QCOM,24-02-92,0.43,0.4454,0.3788,0.4017,12384000
QCOM,25-02-92,0.4146,0.4249,0.3942,0.4095,3513600
QCOM,26-02-92,0.43,0.43,0.4095,0.4249,3200000
QCOM,27-02-92,0.4249,0.4249,0.3993,0.4146,1209600
QCOM,28-02-92,0.4198,0.4249,0.4044,0.4198,3011200
QCOM,02-03-92,0.4198,0.4249,0.4044,0.4198,1257600
QCOM,03-03-92,0.4249,0.4351,0.4044,0.4044,4022400
QCOM,04-03-92,0.4095,0.4095,0.3993,0.3993,5580800
QCOM,05-03-92,0.4044,0.4044,0.3839,0.3891,1920000
QCOM,06-03-92,0.3993,0.3993,0.3583,0.3788,6329600
QCOM,09-03-92,0.3839,0.3839,0.3583,0.3788,2809600
QCOM,10-03-92,0.3839,0.4044,0.3788,0.4044,1900800
QCOM,11-03-92,0.4044,0.4095,0.3737,0.3788,5577600
QCOM,12-03-92,0.3839,0.4044,0.3737,0.3942,1644800
QCOM,13-03-92,0.3891,0.4095,0.3839,0.3942,4976000
QCOM,16-03-92,0.3942,0.3942,0.3788,0.3788,739200
QCOM,17-03-92,0.3839,0.3993,0.3839,0.3839,1865600
QCOM,18-03-92,0.4044,0.4249,0.3993,0.4173,3753600
QCOM,19-03-92,0.4198,0.4454,0.4095,0.4454,6108800
QCOM,20-03-92,0.4505,0.4761,0.4505,0.4556,5392000
QCOM,23-03-92,0.4658,0.471,0.4351,0.4402,5219200
QCOM,24-03-92,0.4556,0.4607,0.4351,0.4402,5760000
QCOM,25-03-92,0.4505,0.4556,0.4402,0.4505,3718400
QCOM,26-03-92,0.4607,0.4607,0.4454,0.4556,2089600
QCOM,27-03-92,0.4454,0.4556,0.4402,0.4402,1456000
QCOM,30-03-92,0.4402,0.4556,0.4249,0.4402,2339200
QCOM,31-03-92,0.4249,0.4761,0.4044,0.471,5353600
QCOM,01-04-92,0.4402,0.471,0.4402,0.4478,3868800
QCOM,02-04-92,0.4556,0.4556,0.3993,0.4249,2947200
QCOM,03-04-92,0.4146,0.4505,0.4146,0.4249,3414400
QCOM,06-04-92,0.43,0.4351,0.4146,0.4327,2742400
QCOM,07-04-92,0.4454,0.4505,0.43,0.4351,2579200
QCOM,08-04-92,0.4249,0.4505,0.4249,0.4351,3123200
QCOM,09-04-92,0.4351,0.4402,0.4222,0.43,4313600
QCOM,10-04-92,0.4402,0.4402,0.43,0.4402,592000
QCOM,13-04-92,0.4402,0.4556,0.43,0.4505,2115200
QCOM,14-04-92,0.4556,0.4761,0.4505,0.4607,1955200
QCOM,15-04-92,0.4812,0.4863,0.4556,0.4761,6112000
QCOM,16-04-92,0.4863,0.4914,0.4683,0.4683,2646400
QCOM,20-04-92,0.4607,0.5017,0.4607,0.471,3318400
QCOM,21-04-92,0.4914,0.4914,0.471,0.4761,1952000
QCOM,22-04-92,0.4863,0.4914,0.471,0.4914,2198400
QCOM,23-04-92,0.4812,0.4914,0.4607,0.4761,1555200
QCOM,24-04-92,0.4683,0.4761,0.4658,0.4658,2112000
QCOM,27-04-92,0.4761,0.4761,0.4607,0.4607,1984000
QCOM,28-04-92,0.4761,0.4761,0.4351,0.4351,1923200
QCOM,29-04-92,0.4454,0.4454,0.4351,0.4454,563200
QCOM,30-04-92,0.4454,0.4454,0.4198,0.43,3433600
QCOM,01-05-92,0.4351,0.4351,0.4249,0.4351,1120000
QCOM,04-05-92,0.4351,0.4454,0.4249,0.4351,3014400
QCOM,05-05-92,0.4454,0.4505,0.4351,0.4402,300800
QCOM,06-05-92,0.4478,0.4505,0.4351,0.4402,1779200
QCOM,07-05-92,0.4505,0.4505,0.4351,0.4351,412800
QCOM,08-05-92,0.4351,0.4505,0.4351,0.4351,179200
QCOM,11-05-92,0.4505,0.4505,0.4249,0.4351,1318400
QCOM,12-05-92,0.4351,0.4351,0.4095,0.4095,1654400
QCOM,13-05-92,0.4198,0.4198,0.3891,0.3942,3331200
QCOM,14-05-92,0.4044,0.4044,0.3839,0.3942,6102400
QCOM,15-05-92,0.3891,0.3942,0.3788,0.3839,1612800
QCOM,18-05-92,0.3942,0.3942,0.3788,0.3813,2275200
QCOM,19-05-92,0.3891,0.3891,0.3788,0.3788,1500800
QCOM,20-05-92,0.3891,0.3891,0.3583,0.3635,7673600
QCOM,21-05-92,0.3686,0.3788,0.3532,0.3686,4457600
QCOM,22-05-92,0.3686,0.3788,0.3583,0.3737,1846400
QCOM,26-05-92,0.3788,0.3864,0.3635,0.3864,3257600
QCOM,27-05-92,0.3891,0.3891,0.3686,0.3712,4080000
QCOM,28-05-92,0.3686,0.3788,0.3686,0.3686,630400
QCOM,29-05-92,0.3788,0.3788,0.3686,0.3764,1504000
QCOM,01-06-92,0.3788,0.3942,0.3737,0.3891,2649600
QCOM,02-06-92,0.3942,0.4044,0.3788,0.3788,2208000
QCOM,03-06-92,0.3942,0.3993,0.3839,0.3993,3337600
QCOM,04-06-92,0.4095,0.4249,0.3942,0.4146,8780800
QCOM,05-06-92,0.4146,0.4198,0.4044,0.4146,1609600
QCOM,08-06-92,0.4044,0.4146,0.3839,0.3891,2060800
QCOM,09-06-92,0.3891,0.3891,0.3686,0.3737,2982400
QCOM,10-06-92,0.3686,0.3891,0.3583,0.3635,5728000
QCOM,11-06-92,0.3788,0.3891,0.3635,0.3839,11107200
QCOM,12-06-92,0.3942,0.4198,0.3813,0.4198,4480000
QCOM,15-06-92,0.4044,0.4249,0.4017,0.4198,3379200
QCOM,16-06-92,0.4146,0.4146,0.3993,0.3993,857600
QCOM,17-06-92,0.3993,0.3993,0.3635,0.3737,2147200
QCOM,18-06-92,0.3737,0.3839,0.3635,0.3659,4064000
QCOM,19-06-92,0.3737,0.3788,0.3635,0.3686,1315200
QCOM,22-06-92,0.3635,0.3788,0.3481,0.3608,2668800
QCOM,23-06-92,0.3635,0.3686,0.3532,0.3686,2051200
QCOM,24-06-92,0.3686,0.3737,0.3635,0.3635,496000
QCOM,25-06-92,0.3737,0.3788,0.3686,0.3686,1321600
QCOM,26-06-92,0.3788,0.3788,0.3686,0.3686,451200
QCOM,29-06-92,0.3839,0.3891,0.3788,0.3891,1881600
QCOM,30-06-92,0.3839,0.3993,0.3788,0.3993,1715200
QCOM,01-07-92,0.3993,0.4069,0.3839,0.3993,1414400
QCOM,02-07-92,0.4095,0.4146,0.3917,0.3942,1993600
QCOM,06-07-92,0.3993,0.3993,0.3839,0.3839,710400
QCOM,07-07-92,0.3942,0.3942,0.3839,0.3891,752000
QCOM,08-07-92,0.3839,0.3993,0.3839,0.3942,774400
QCOM,09-07-92,0.3891,0.3993,0.3839,0.3891,777600
