name,date,open,high,low,close,volume
RYAAY,02-06-97,2.4546,2.63,2.4546,2.5799,7899039
RYAAY,03-06-97,2.5548,2.5929,2.5298,2.5298,2647603
RYAAY,04-06-97,2.5177,2.5929,2.5177,2.5678,3623245
RYAAY,05-06-97,2.5929,2.5929,2.5428,2.5428,2883157
RYAAY,06-06-97,2.5298,2.63,2.4927,2.6049,4516920
RYAAY,09-06-97,2.655,2.7552,2.6179,2.7181,1162653
RYAAY,10-06-97,2.7552,2.7552,2.643,2.668,887309
RYAAY,11-06-97,2.63,2.6801,2.5678,2.6179,1681510
RYAAY,12-06-97,2.6179,2.6179,2.5548,2.5799,1473012
RYAAY,13-06-97,2.6179,2.6179,2.5678,2.5678,1001903
RYAAY,16-06-97,2.5678,2.5799,2.5428,2.5428,572175
RYAAY,17-06-97,2.5177,2.5428,2.4546,2.4927,1334545
RYAAY,18-06-97,2.4797,2.4927,2.3925,2.4296,539548
RYAAY,19-06-97,2.4546,2.4797,2.4296,2.4426,350945
RYAAY,20-06-97,2.4546,2.4797,2.4426,2.4426,578541
RYAAY,23-06-97,2.4426,2.4797,2.4045,2.4045,350945
RYAAY,24-06-97,2.4426,2.4927,2.4045,2.4927,749637
RYAAY,25-06-97,2.4927,2.63,2.4677,2.5989,2022905
RYAAY,26-06-97,2.6179,2.7492,2.6179,2.7181,959726
RYAAY,27-06-97,2.7181,2.7181,2.6801,2.6801,1169815
RYAAY,30-06-97,2.7051,2.7181,2.6801,2.7181,1673552
RYAAY,01-07-97,2.7051,2.7432,2.6931,2.7181,2628504
RYAAY,02-07-97,2.7432,2.7432,2.7181,2.7301,280119
RYAAY,03-07-97,2.7181,2.7802,2.7051,2.7301,842745
RYAAY,07-07-97,2.7301,2.7552,2.63,2.668,430524
RYAAY,08-07-97,2.643,2.643,2.5799,2.6049,552280
RYAAY,09-07-97,2.643,2.6801,2.6049,2.6801,705072
RYAAY,10-07-97,2.6179,2.6179,2.6179,2.6179,783856
RYAAY,11-07-97,2.6179,2.7051,2.6179,2.7051,233167
RYAAY,14-07-97,2.668,2.7051,2.668,2.668,424158
RYAAY,15-07-97,2.668,2.7181,2.668,2.668,258633
RYAAY,16-07-97,2.7051,2.7051,2.655,2.6931,573767
RYAAY,17-07-97,2.7051,2.7051,2.6801,2.6801,104249
RYAAY,18-07-97,2.6801,2.6931,2.655,2.6801,187807
RYAAY,21-07-97,2.6801,2.7051,2.668,2.668,810913
