name,date,open,high,low,close,volume
VZ,21-11-83,1.2313,1.2336,1.1441,1.2248,5020600
VZ,22-11-83,1.2248,1.2423,1.2182,1.2205,2666704
VZ,23-11-83,1.2205,1.2248,1.2074,1.2139,1151904
VZ,25-11-83,1.2139,1.2161,1.2008,1.2008,1771800
VZ,28-11-83,1.1943,1.1943,1.1638,1.1682,2367800
VZ,29-11-83,1.1659,1.1659,1.1528,1.1551,1630400
VZ,30-11-83,1.1551,1.1638,1.1507,1.1551,2423104
VZ,01-12-83,1.1551,1.1638,1.1485,1.1551,6249000
VZ,02-12-83,1.1551,1.1682,1.1464,1.1528,1763800
VZ,05-12-83,1.1528,1.1551,1.1398,1.1398,1084304
VZ,06-12-83,1.1398,1.1485,1.1398,1.1441,2176504
VZ,07-12-83,1.1441,1.1638,1.1441,1.1551,4855904
VZ,08-12-83,1.1551,1.1616,1.1528,1.1572,7360000
VZ,09-12-83,1.1572,1.1659,1.1572,1.1595,5222400
VZ,12-12-83,1.1595,1.1659,1.1572,1.1616,2834904
VZ,13-12-83,1.1638,1.1833,1.1638,1.179,6692904
VZ,14-12-83,1.179,1.1877,1.179,1.1833,2520800
VZ,15-12-83,1.1833,1.1833,1.1746,1.1746,2323400
VZ,16-12-83,1.1746,1.1856,1.1746,1.1813,2452400
VZ,19-12-83,1.1813,1.1813,1.1769,1.1769,1610800
VZ,20-12-83,1.1769,1.1813,1.1682,1.1703,1937400
VZ,21-12-83,1.1703,1.1746,1.1595,1.1638,1935600
VZ,22-12-83,1.1616,1.1616,1.1485,1.1485,4871104
VZ,23-12-83,1.1485,1.1507,1.1398,1.142,2338504
VZ,27-12-83,1.1398,1.1398,1.1333,1.1354,3004800
VZ,28-12-83,1.1354,1.1464,1.1354,1.1441,4580104
VZ,29-12-83,1.1441,1.1485,1.142,1.142,2998600
VZ,30-12-83,1.142,1.1441,1.1354,1.1377,1745104
VZ,03-01-84,1.1441,1.1725,1.1441,1.1703,1973704
VZ,04-01-84,1.1769,1.2269,1.1769,1.2051,3632800
VZ,05-01-84,1.2139,1.24,1.2139,1.2161,3759104
VZ,06-01-84,1.2118,1.2466,1.2118,1.2379,4508104
VZ,09-01-84,1.2379,1.2379,1.2226,1.2226,1791400
VZ,10-01-84,1.2226,1.2269,1.2182,1.2269,1571704
VZ,11-01-84,1.2269,1.2336,1.2269,1.2292,1258504
VZ,12-01-84,1.2292,1.2379,1.2269,1.2379,1421304
VZ,13-01-84,1.2444,1.2597,1.2444,1.2466,3148000
VZ,16-01-84,1.2554,1.2815,1.2554,1.2574,2448904
