name,date,open,high,low,close,volume
WMT,25-08-72,0.0387,0.0395,0.0387,0.0393,2508800
WMT,28-08-72,0.0393,0.0396,0.0392,0.0392,972800
WMT,29-08-72,0.039,0.039,0.0387,0.0387,1945600
WMT,30-08-72,0.0387,0.0387,0.0384,0.0387,409600
WMT,31-08-72,0.0384,0.0384,0.0381,0.0381,870400
WMT,01-09-72,0.0383,0.0384,0.0383,0.0384,256000
WMT,05-09-72,0.0384,0.0384,0.0381,0.0381,563200
WMT,06-09-72,0.0384,0.0384,0.0384,0.0384,256000
WMT,07-09-72,0.0384,0.0384,0.0383,0.0383,1177600
WMT,08-09-72,0.0381,0.0381,0.038,0.038,665600
WMT,11-09-72,0.0383,0.0383,0.0383,0.0383,921600
WMT,12-09-72,0.0383,0.0383,0.0383,0.0383,614400
WMT,13-09-72,0.0383,0.0383,0.0383,0.0383,153600
WMT,14-09-72,0.0383,0.0386,0.0381,0.0386,1280000
WMT,15-09-72,0.0384,0.0384,0.0383,0.0383,512000
WMT,18-09-72,0.0384,0.0386,0.0384,0.0384,1075200
WMT,19-09-72,0.0383,0.0383,0.038,0.0381,3123200
WMT,20-09-72,0.0378,0.0378,0.0378,0.0378,51200
WMT,21-09-72,0.0375,0.0375,0.0366,0.0366,1433600
WMT,22-09-72,0.0365,0.0365,0.0353,0.0353,870400
WMT,25-09-72,0.0352,0.0352,0.0343,0.0343,972800
WMT,26-09-72,0.0343,0.0343,0.034,0.0341,716800
WMT,27-09-72,0.0338,0.0338,0.0334,0.0334,665600
WMT,28-09-72,0.034,0.0346,0.034,0.0343,1433600
WMT,29-09-72,0.0346,0.0347,0.0346,0.0347,256000
WMT,02-10-72,0.035,0.0364,0.035,0.0364,1638400
WMT,03-10-72,0.0366,0.0369,0.0366,0.0369,512000
WMT,04-10-72,0.0371,0.038,0.0371,0.0377,1536000
WMT,05-10-72,0.0375,0.0375,0.0366,0.0366,1382400
WMT,06-10-72,0.0365,0.0365,0.0352,0.0352,9779200
WMT,09-10-72,0.0355,0.0358,0.0355,0.0358,1280000
WMT,10-10-72,0.0358,0.0358,0.0358,0.0358,0
WMT,11-10-72,0.0358,0.0359,0.0355,0.0359,460800
WMT,12-10-72,0.0358,0.0358,0.0356,0.0356,358400
WMT,13-10-72,0.0356,0.0356,0.0356,0.0356,51200
WMT,16-10-72,0.0355,0.0355,0.0347,0.0347,665600
WMT,17-10-72,0.0347,0.0355,0.0344,0.0353,2457600
WMT,18-10-72,0.0356,0.0381,0.0356,0.0378,7782400
WMT,19-10-72,0.0378,0.0381,0.0378,0.038,10598400
WMT,20-10-72,0.0377,0.0377,0.0377,0.0377,51200
WMT,23-10-72,0.0377,0.0377,0.0375,0.0375,460800
WMT,24-10-72,0.0377,0.0377,0.0377,0.0377,102400
WMT,25-10-72,0.0374,0.0374,0.0369,0.0369,1228800
WMT,26-10-72,0.0372,0.0372,0.0372,0.0372,51200
WMT,27-10-72,0.0374,0.0374,0.0374,0.0374,204800
WMT,30-10-72,0.0374,0.0375,0.0371,0.0372,1331200
WMT,31-10-72,0.0374,0.0384,0.0374,0.0384,716800
WMT,01-11-72,0.0389,0.0402,0.0389,0.0402,2252800
WMT,02-11-72,0.0405,0.041,0.0405,0.0405,716800
WMT,03-11-72,0.0404,0.0404,0.0402,0.0404,1433600
WMT,06-11-72,0.0404,0.0404,0.0404,0.0404,153600
WMT,08-11-72,0.0405,0.041,0.0405,0.0408,716800
WMT,09-11-72,0.0408,0.0408,0.0405,0.0408,819200
WMT,10-11-72,0.0408,0.0408,0.0408,0.0408,0
WMT,13-11-72,0.0407,0.0407,0.0404,0.0407,409600
WMT,14-11-72,0.0405,0.0405,0.0402,0.0402,153600
WMT,15-11-72,0.0402,0.0404,0.0399,0.0401,563200
WMT,16-11-72,0.0401,0.0402,0.0399,0.0402,614400
WMT,17-11-72,0.0402,0.0405,0.0401,0.0401,1382400
WMT,20-11-72,0.0401,0.0402,0.0399,0.0399,153600
WMT,21-11-72,0.0399,0.0408,0.0396,0.0408,563200
WMT,22-11-72,0.0408,0.0413,0.0408,0.0408,460800
WMT,24-11-72,0.0408,0.041,0.0407,0.0407,358400
WMT,27-11-72,0.0407,0.0417,0.0405,0.0417,6246400
